k	flips	probability
11	5	1
11	6	0.805
11	7	0.927
11	8	0.664
11	9	0.842
11	10	0.546
11	11	0.769
11	12	0.52
11	13	0.708
11	14	0.452
11	15	0.684
11	16	0.439
11	17	0.655
11	18	0.426
11	19	0.666
11	20	0.393
11	21	0.625
11	22	0.408
11	23	0.623
11	24	0.388
11	25	0.641
11	26	0.374
11	27	0.626
11	28	0.393
11	29	0.639
11	30	0.403
11	31	0.636
11	32	0.384
11	33	0.618
11	34	0.373
11	35	0.65
11	36	0.382
11	37	0.627
11	38	0.374
11	39	0.622
11	40	0.395
11	41	0.652
11	42	0.392
11	43	0.633
11	44	0.355
11	45	0.614
11	46	0.358
11	47	0.623
11	48	0.366
11	49	0.639
11	50	0.367
11	51	0.631
11	52	0.343
11	53	0.613
11	54	0.368
11	55	0.624
11	56	0.39
11	57	0.627
11	58	0.369
11	59	0.611
11	60	0.359
11	61	0.579
11	62	0.376
11	63	0.628
11	64	0.357
11	65	0.627
11	66	0.391
11	67	0.622
11	68	0.384
11	69	0.623
11	70	0.36
11	71	0.615
11	72	0.348
11	73	0.606
11	74	0.414
11	75	0.612
11	76	0.37
11	77	0.62
11	78	0.371
11	79	0.622
11	80	0.383
11	81	0.66
11	82	0.354
11	83	0.633
11	84	0.364
11	85	0.633
11	86	0.4
11	87	0.605
11	88	0.382
11	89	0.652
11	90	0.389
11	91	0.584
11	92	0.378
11	93	0.623
11	94	0.383
11	95	0.62
11	96	0.387
11	97	0.652
11	98	0.349
11	99	0.623
101	50	1
101	60	1
101	70	1
101	80	0.99
101	90	0.975
101	100	0.931
101	110	0.89
101	120	0.847
101	130	0.801
101	140	0.796
101	150	0.755
101	160	0.688
101	170	0.671
101	180	0.646
101	190	0.622
101	200	0.622
101	210	0.607
101	220	0.557
101	230	0.587
101	240	0.594
101	250	0.559
101	260	0.575
101	270	0.559
101	280	0.547
101	290	0.555
101	300	0.552
101	310	0.552
101	320	0.526
101	330	0.539
101	340	0.54
101	350	0.558
101	360	0.509
101	370	0.547
101	380	0.566
101	390	0.511
101	400	0.525
101	410	0.528
101	420	0.508
101	430	0.539
101	440	0.552
